"","ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"371765","5710AWA11622","cdiajda","2",NA,"Paget Street","","","","","","Paget Street","","Paget Lane","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317703,175150,-3.1861975776,51.4693107789,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","act"
"371766","5710AWA11623","cdimadt","",NA,"North Clive Street","","","","","","North Clive Street","","Machen Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317498,175093,-3.1891348969,51.4687684794,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:58",3,"rev","act"
"371767","5710AWA11610","cdidwdg","6",NA,"The Marl","","","","","","Ferry Road","","Earl Street","","","","SW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317899,174414,-3.1832052808,51.4627229486,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371768","5710AWA11684","cdimtpa","5601 0120",NA,"Tudor Street","","","","Connect 2","","Beauchamp Street","","Tudor Street","","","","NW","E0054020","Riverside","Cardiff","","","","","",1,"U",317666,175957,-3.1869184427,51.4765599747,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371769","5710AWA11685","cdimtat","3",NA,"Clare Gardens","","","","","","Clare Street","","Despenser Street","","","","N","E0054020","Riverside","Cardiff","","","","","",1,"U",317543,176190,-3.1887435749,51.4786366021,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-05-29T00:00:00",0,"new","act"
"371770","5710AWA11627","cdidgp","5601 0620",NA,"Clare Road","","Cornwall Street Post Office","","Cornwall Street Post Office","","Cornwall Street","","Clare Road","","","","SW","E0054006","Grangetown","Cardiff","","","","","",0,"U",317624,175628,-3.1874462418,51.473596284,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371771","5710AWA11628","cdidtmw","5601 0062",NA,"Clare Road","","Neville","","Neville PH","","Clare Road","","Cornwall Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317643,175693,-3.1871879143,51.4741833761,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:10",1,"rev","act"
"371772","5710AWA11629","cdidtmt","",NA,"Clare Road","","","","35 Clare Road","","Clare Road","","Court Road","","","","SE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317653,175741,-3.1870551683,51.4746163331,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:15",1,"rev","act"
"371773","5710AWA11615","cdidwaj","",NA,"Sevenoaks St","","","","","","Sevenoaks Street","","Holmesdale Street","","","","SE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317853,174634,-3.1839184746,51.4646939761,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:49",1,"rev","act"
"371774","5710AWA11760","cdidmpg","44",NA,"Glass Avenue","","","","","","Ocean Way","","Glass Avenue","","","","E","N0075389","East Moors","Cardiff","","","","","",1,"U",320376,175623,-3.1478303362,51.4739459002,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:43",1,"rev","act"
"371775","5710AWA11761","cdidmpw","7",NA,"Portmanmoor Road","","Portmanmoor Road S1","","Huntleigh Diagnostics","","Portmanmoor Road","","","","","","NW","N0075389","East Moors","Cardiff","","","","","",1,"U",320429,175778,-3.1471023582,51.4753467709,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T22:01:43",1,"rev","act"
"371776","5710AWA11763","cdidmpd","2",NA,"Freshmoor Road","","","","Mastercare","","Freshmoor Road","","Lewis Road","","","","SW","N0075389","East Moors","Cardiff","","","","","",1,"U",320122,176001,-3.1515722664,51.4773081438,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T22:01:41",1,"rev","act"
"371777","5710AWA11765","cdipgmp","2",NA,"The Maltings","","","","The Maltings","","Lewis Road","","East Tyndall Street","","","","NW","E0054023","Splott","Cardiff","","","","","",1,"U",319933,176242,-3.1543478329,51.4794478963,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T22:01:39",1,"rev","act"
"371778","5710AWA11616","cdidwam","",NA,"Sevenoaks St","","","","","","Sevenoaks Street","","Holmesdale Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317838,174651,-3.1841383107,51.4648446187,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:51",1,"rev","act"
"371779","5710AWA11617","cdidwat","",NA,"St Fagans Street","","","","St Paul`s Church","","Paget Street","","St Fagan`s Street","","","","SE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317760,174802,-3.1852960664,51.4661907017,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","act"
"371780","5710AWA11618","cdidtwm","",NA,"Llanmaes Street","","","","","","Paget Street","","Llanmaes Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317747,174804,-3.185483634,51.4662067889,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-11-27T00:00:00",0,"new","act"
"371781","5710AWA11679","cdidmjp","3",NA,"Hanover Hotel","","","","","","Schooner Way","","Atlantic Wharf","","","","SE","N0080096","Atlantic Wharf","Cardiff","","","","","",1,"U",319045,175904,-3.1670545289,51.4762828278,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:57:05",1,"rev","act"
"371782","5710AWA11681","cdimtdj","3",NA,"Fitzhamon Embankment","","","","","","Tudor Street","","Tudor Lane","","","","E","E0054020","Riverside","Cardiff","","","","","",1,"U",317890,175923,-3.1836858946,51.4762869318,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:57:03",2,"rev","act"
"371783","5710AWA11607","cdidwap","",NA,"South Clive St","","South Clive Street","","","","South Clive Street","","Beecher Avenue","","","","N","E0054006","Grangetown","Cardiff","","","","","",1,"U",317777,174150,-3.1848995438,51.4603319598,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","act"
"371784","5710AWA11630","cdiagtp","5601 0001",NA,"Durham Street","","","","","","Clare Road","","Durham Street","","","","SE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317684,175314,-3.186509306,51.4707823024,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","act"
"371785","5710AWA11669","cdiagwg","5601 0151",NA,"Hannah Street","","","","","","Bute Street","","Hannah Street","","","","NW","E0053997","Butetown","Cardiff","","","","","",1,"U",318977,175034,-3.1678336596,51.4684520961,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:44",1,"rev","act"
